board
"[[None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, 'Destroyer', 'Destroyer', None], [None, None, None, 'Battleship', None, 'Submarine', 'Submarine', 'Submarine', None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, 'Battleship', 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None], [None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None], [None, None, None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Destroyer', 'Destroyer', None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, 'Aircraft_Carrier', 'Cruiser', 'Cruiser', 'Cruiser', None, None], [None, None, None, None, 'Aircraft_Carrier', 'Battleship', 'Battleship', 'Battleship', 'Battleship', None], [None, None, None, None, 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, None, 'Submarine', None, None], [None, None, None, None, 'Aircraft_Carrier', None, None, 'Submarine', None, None], [None, None, None, None, None, None, None, 'Submarine', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Destroyer', None, None, None, None], [None, None, None, None, None, 'Destroyer', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, 'Destroyer', 'Destroyer'], ['Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, 'Cruiser', None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, 'Cruiser', None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, 'Cruiser', None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, 'Submarine', None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, 'Submarine', None, None, None, None, None, None, None, None], [None, 'Submarine', None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, 'Destroyer', 'Submarine', 'Submarine', 'Submarine', None, None, None, None], [None, None, 'Destroyer', None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None], [None, None, None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, 'Submarine', None], ['Cruiser', None, None, None, None, None, None, None, 'Submarine', 'Destroyer'], ['Cruiser', None, None, None, None, None, None, None, 'Submarine', 'Destroyer'], ['Cruiser', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None]]"
"[[None, None, None, None, None, None, None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, 'Aircraft_Carrier', None], ['Cruiser', None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None, None], [None, None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, None, 'Destroyer', 'Destroyer', None, None, None]]"
"[[None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None]]"
"[['Cruiser', None, 'Submarine', None, None, None, None, None, None, None], ['Cruiser', None, 'Submarine', None, None, 'Destroyer', 'Destroyer', None, None, None], ['Cruiser', None, 'Submarine', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Battleship', 'Submarine', None, None, None, None, None], [None, None, None, 'Battleship', 'Submarine', None, None, None, None, None], [None, None, None, 'Battleship', 'Submarine', None, None, None, None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Cruiser', 'Destroyer'], [None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Cruiser', 'Destroyer'], [None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Cruiser', None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, 'Cruiser', 'Submarine', None, None], [None, None, None, None, 'Aircraft_Carrier', None, 'Cruiser', 'Submarine', None, None], [None, 'Destroyer', None, None, None, None, 'Cruiser', 'Submarine', None, None], [None, 'Destroyer', None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, None, None, None, None, None, None]]"
