num_attacks,board
57,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, 'Battleship', None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, 'Battleship', 'Submarine', None, None, None], [None, None, 'Aircraft_Carrier', None, None, 'Battleship', 'Submarine', None, None, None], [None, None, 'Aircraft_Carrier', None, None, 'Battleship', 'Submarine', None, None, None], [None, None, 'Aircraft_Carrier', 'Destroyer', 'Destroyer', None, None, None, None, None], [None, None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser']]"
30,"[[None, None, None, None, None, None, None, None, None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Submarine', None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Submarine', None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Submarine', None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, 'Destroyer', 'Destroyer', 'Cruiser', None], [None, None, None, None, None, None, None, None, 'Cruiser', None], [None, None, None, None, None, None, None, None, 'Cruiser', None], [None, None, None, None, None, None, None, None, None, None]]"
42,"[[None, None, None, None, None, None, 'Cruiser', None, None, None], [None, None, None, None, None, None, 'Cruiser', None, None, None], [None, None, None, None, None, None, 'Cruiser', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Submarine', None, None, None], ['Aircraft_Carrier', None, None, None, None, None, 'Submarine', None, None, None], ['Aircraft_Carrier', None, None, None, None, None, 'Submarine', None, None, None], ['Aircraft_Carrier', 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None], ['Aircraft_Carrier', None, None, 'Destroyer', None, None, None, None, None, None], ['Aircraft_Carrier', None, None, 'Destroyer', None, None, None, None, None, None]]"
46,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser'], [None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, 'Destroyer', None, None, 'Battleship'], [None, None, 'Submarine', 'Submarine', 'Submarine', None, 'Destroyer', None, None, 'Battleship']]"
53,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Destroyer', None, None, None, None, None, None, None, None, None], ['Destroyer', None, None, None, None, 'Battleship', None, None, None, None], [None, None, None, None, None, 'Battleship', None, None, None, None], ['Cruiser', None, None, None, None, 'Battleship', None, None, None, None], ['Cruiser', None, None, None, None, 'Battleship', None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Submarine', 'Submarine', 'Submarine', None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier']]"
46,"[[None, None, None, None, None, None, None, None, None, 'Cruiser'], [None, None, None, None, None, None, None, None, None, 'Cruiser'], [None, None, None, None, None, None, None, None, None, 'Cruiser'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Destroyer', None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, 'Destroyer', None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, 'Submarine'], ['Battleship', 'Battleship', 'Battleship', 'Battleship', None, 'Aircraft_Carrier', None, None, None, 'Submarine'], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, 'Submarine']]"
37,"[['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, None], [None, 'Destroyer', 'Destroyer', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, 'Battleship', None], [None, None, None, None, None, None, None, None, 'Battleship', None], [None, None, None, None, 'Submarine', None, None, None, 'Battleship', None], [None, None, None, None, 'Submarine', None, None, None, 'Battleship', None], [None, None, None, None, 'Submarine', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None], [None, None, None, None, None, None, None, None, None, None]]"
44,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, None, 'Battleship', None, None, None, None, None], ['Aircraft_Carrier', None, None, None, 'Battleship', None, None, None, None, None], ['Aircraft_Carrier', 'Submarine', 'Submarine', 'Submarine', 'Battleship', None, None, None, None, None], ['Aircraft_Carrier', None, None, None, 'Battleship', None, None, None, None, None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Destroyer', 'Destroyer', None]]"
46,"[[None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None], [None, None, None, None, None, None, None, 'Destroyer', 'Destroyer', None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Submarine', None, None, None, None, None, None, None], [None, None, 'Submarine', None, None, None, None, None, None, None], [None, None, 'Submarine', None, None, None, None, None, None, None], [None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier']]"
35,"[[None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, 'Destroyer', 'Destroyer', 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, None], [None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None]]"
39,"[[None, None, None, None, 'Destroyer', 'Destroyer', None, None, 'Submarine', None], ['Cruiser', None, None, None, None, None, None, None, 'Submarine', None], ['Cruiser', None, None, None, None, None, None, None, 'Submarine', None], ['Cruiser', None, None, None, None, None, None, None, None, None], ['Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
49,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], ['Cruiser', 'Cruiser', 'Cruiser', None, None, None, 'Destroyer', None, None, 'Battleship'], [None, None, None, None, None, None, 'Destroyer', 'Aircraft_Carrier', None, 'Battleship'], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', 'Submarine', None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', 'Submarine', None], [None, None, None, None, None, None, None, None, 'Submarine', None]]"
41,"[['Battleship', None, None, None, None, None, None, None, None, None], ['Battleship', None, None, None, None, None, None, None, None, None], ['Battleship', None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None], ['Battleship', None, None, None, None, None, None, None, 'Destroyer', None], [None, None, 'Submarine', 'Submarine', 'Submarine', None, None, 'Aircraft_Carrier', 'Destroyer', None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, None, None]]"
39,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None], [None, None, 'Destroyer', None, None, None, None, None, None, None], [None, None, 'Destroyer', None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier']]"
53,"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Destroyer', 'Destroyer', None, None], [None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, None]]"
28,"[[None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Submarine'], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Submarine'], [None, None, 'Aircraft_Carrier', None, None, None, None, None, None, 'Submarine'], ['Cruiser', None, 'Aircraft_Carrier', None, None, None, None, None, None, None], ['Cruiser', None, 'Aircraft_Carrier', None, None, None, None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], [None, 'Destroyer', 'Destroyer', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
46,"[['Submarine', 'Submarine', 'Submarine', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Destroyer', 'Destroyer', 'Battleship', None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, 'Battleship', None, None, None, None, None, None, None], [None, None, 'Battleship', None, None, None, None, None, None, None], [None, None, 'Battleship', None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
